Цифр. код;Букв. код;Единиц;Валюта;Курс
Австралийский доллар;AUD;1;Австралийский доллар;51,5913
Азербайджанский манат;AZN;1;Азербайджанский манат;46,1283
Армянских драмов;AMD;100;Армянских драмов;20,3514
Батов;THB;10;Батов;24,1442
Белорусский рубль;BYN;1;Белорусский рубль;26,4649
Болгарский лев;BGN;1;Болгарский лев;46,9907
Бразильский реал;BRL;1;Бразильский реал;14,3707
Вон;KRW;1000;Вон;57,9330
Гонконгский доллар;HKD;1;Гонконгский доллар;10,0074
Гривен;UAH;10;Гривен;18,7517
Датская крона;DKK;1;Датская крона;12,3183
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,3528
Доллар США;USD;1;Доллар США;78,4181
Донгов;VND;10000;Донгов;31,2946
Евро;EUR;1;Евро;92,7440
Египетских фунтов;EGP;10;Египетских фунтов;15,8582
Злотый;PLN;1;Злотый;21,8252
Иен;JPY;100;Иен;54,5935
Индийских рупий;INR;100;Индийских рупий;91,5908
Канадский доллар;CAD;1;Канадский доллар;57,4786
Катарский риал;QAR;1;Катарский риал;21,5434
Лари;GEL;1;Лари;28,8016
Молдавских леев;MDL;10;Молдавских леев;46,6297
Новозеландский доллар;NZD;1;Новозеландский доллар;47,6860
Новый туркменский манат;TMT;1;Новый туркменский манат;22,4052
Норвежских крон;NOK;10;Норвежских крон;77,6594
Румынский лей;RON;1;Румынский лей;18,2546
Рупий;IDR;10000;Рупий;48,3138
Рэндов;ZAR;10;Рэндов;44,5616
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);107,7465
Сербских динаров;RSD;100;Сербских динаров;78,9037
Сингапурский доллар;SGD;1;Сингапурский доллар;61,6107
Сомов;KGS;100;Сомов;89,6719
Сомони;TJS;10;Сомони;79,5848
Тенге;KZT;100;Тенге;15,0909
Турецких лир;TRY;10;Турецких лир;19,7146
Узбекских сумов;UZS;10000;Узбекских сумов;61,7710
Форинтов;HUF;100;Форинтов;23,1958
Фунт стерлингов;GBP;1;Фунт стерлингов;107,4563
Чешских крон;CZK;10;Чешских крон;37,5134
Шведских крон;SEK;10;Шведских крон;82,4528
Швейцарский франк;CHF;1;Швейцарский франк;99,3389
Юань;CNY;1;Юань;10,9384
