Цифр. код;Букв. код;Единиц;Валюта;Курс
Австралийский доллар;AUD;1;Австралийский доллар;51,7307
Азербайджанский манат;AZN;1;Азербайджанский манат;46,2671
Армянских драмов;AMD;100;Армянских драмов;20,4556
Батов;THB;10;Батов;24,2288
Белорусский рубль;BYN;1;Белорусский рубль;26,5194
Болгарский лев;BGN;1;Болгарский лев;47,4941
Бразильский реал;BRL;1;Бразильский реал;14,4298
Вон;KRW;1000;Вон;58,1502
Гонконгский доллар;HKD;1;Гонконгский доллар;10,0375
Гривен;UAH;10;Гривен;18,8115
Датская крона;DKK;1;Датская крона;12,4506
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,4170
Доллар США;USD;1;Доллар США;78,6540
Донгов;VND;10000;Донгов;31,3738
Евро;EUR;1;Евро;92,6774
Египетских фунтов;EGP;10;Египетских фунтов;15,9404
Злотый;PLN;1;Злотый;21,7938
Иен;JPY;100;Иен;54,7730
Индийских рупий;INR;100;Индийских рупий;91,7860
Канадский доллар;CAD;1;Канадский доллар;57,6515
Катарский риал;QAR;1;Катарский риал;21,6082
Лари;GEL;1;Лари;28,9010
Молдавских леев;MDL;10;Молдавских леев;47,1171
Новозеландский доллар;NZD;1;Новозеландский доллар;47,9317
Новый туркменский манат;TMT;1;Новый туркменский манат;22,4726
Норвежских крон;NOK;10;Норвежских крон;78,4250
Румынский лей;RON;1;Румынский лей;18,2768
Рупий;IDR;10000;Рупий;48,5758
Рэндов;ZAR;10;Рэндов;44,4931
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);108,4481
Сербских динаров;RSD;100;Сербских динаров;79,1951
Сингапурский доллар;SGD;1;Сингапурский доллар;61,7815
Сомов;KGS;100;Сомов;89,9417
Сомони;TJS;10;Сомони;79,7684
Тенге;KZT;100;Тенге;15,1464
Турецких лир;TRY;10;Турецких лир;19,7578
Узбекских сумов;UZS;10000;Узбекских сумов;62,0490
Форинтов;HUF;100;Форинтов;23,2079
Фунт стерлингов;GBP;1;Фунт стерлингов;107,8976
Чешских крон;CZK;10;Чешских крон;37,5365
Шведских крон;SEK;10;Шведских крон;83,2426
Швейцарский франк;CHF;1;Швейцарский франк;99,2479
Юань;CNY;1;Юань;10,9465
