DigitalCode;LetterCode;Units;Currency;Rate
Австралийский доллар;AUD;1;Австралийский доллар;51,8027
Азербайджанский манат;AZN;1;Азербайджанский манат;46,3738
Армянских драмов;AMD;100;Армянских драмов;20,5162
Батов;THB;10;Батов;24,3327
Белорусский рубль;BYN;1;Белорусский рубль;26,5806
Болгарский лев;BGN;1;Болгарский лев;47,4906
Бразильский реал;BRL;1;Бразильский реал;14,5439
Вон;KRW;1000;Вон;58,0483
Гонконгский доллар;HKD;1;Гонконгский доллар;10,0607
Гривен;UAH;10;Гривен;18,8899
Датская крона;DKK;1;Датская крона;12,4483
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,4664
Доллар США;USD;1;Доллар США;78,8354
Донгов;VND;10000;Донгов;31,3885
Евро;EUR;1;Евро;93,0103
Египетских фунтов;EGP;10;Египетских фунтов;15,9772
Злотый;PLN;1;Злотый;21,8332
Иен;JPY;100;Иен;54,5196
Индийских рупий;INR;100;Индийских рупий;92,3254
Канадский доллар;CAD;1;Канадский доллар;58,074
Катарский риал;QAR;1;Катарский риал;21,6581
Лари;GEL;1;Лари;28,9889
Молдавских леев;MDL;10;Молдавских леев;47,0022
Новозеландский доллар;NZD;1;Новозеландский доллар;47,8255
Новый туркменский манат;TMT;1;Новый туркменский манат;22,5244
Норвежских крон;NOK;10;Норвежских крон;78,2183
Румынский лей;RON;1;Румынский лей;18,3505
Рупий;IDR;10000;Рупий;48,6368
Рэндов;ZAR;10;Рэндов;44,8772
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);108,5185
Сербских динаров;RSD;100;Сербских динаров;79,2611
Сингапурский доллар;SGD;1;Сингапурский доллар;61,8414
Сомов;KGS;100;Сомов;90,1491
Сомони;TJS;10;Сомони;80,6575
Тенге;KZT;100;Тенге;15,1732
Турецких лир;TRY;10;Турецких лир;19,8514
Узбекских сумов;UZS;10000;Узбекских сумов;62,7792
Форинтов;HUF;100;Форинтов;23,2786
Фунт стерлингов;GBP;1;Фунт стерлингов;107,5788
Чешских крон;CZK;10;Чешских крон;37,6213
Шведских крон;SEK;10;Шведских крон;82,5524
Швейцарский франк;CHF;1;Швейцарский франк;99,364
Юань;CNY;1;Юань;10,9947
