DigitalCode;LetterCode;Units;Currency;Rate
Австралийский доллар;AUD;1;Австралийский доллар;51,2457
Азербайджанский манат;AZN;1;Азербайджанский манат;46,3050
Армянских драмов;AMD;100;Армянских драмов;20,4937
Батов;THB;10;Батов;24,1779
Белорусский рубль;BYN;1;Белорусский рубль;26,5081
Болгарский лев;BGN;1;Болгарский лев;47,3600
Бразильский реал;BRL;1;Бразильский реал;14,5541
Вон;KRW;1000;Вон;57,7030
Гонконгский доллар;HKD;1;Гонконгский доллар;10,0458
Гривен;UAH;10;Гривен;18,8333
Датская крона;DKK;1;Датская крона;12,4138
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,4346
Доллар США;USD;1;Доллар США;78,7185
Донгов;VND;10000;Донгов;31,3457
Евро;EUR;1;Евро;92,4138
Египетских фунтов;EGP;10;Египетских фунтов;15,8474
Злотый;PLN;1;Злотый;21,7041
Иен;JPY;100;Иен;54,5369
Индийских рупий;INR;100;Индийских рупий;91,7305
Канадский доллар;CAD;1;Канадский доллар;57,8600
Катарский риал;QAR;1;Катарский риал;21,6260
Лари;GEL;1;Лари;28,9502
Молдавских леев;MDL;10;Молдавских леев;46,8125
Новозеландский доллар;NZD;1;Новозеландский доллар;47,4948
Новый туркменский манат;TMT;1;Новый туркменский манат;22,4910
Норвежских крон;NOK;10;Норвежских крон;78,1868
Румынский лей;RON;1;Румынский лей;18,2307
Рупий;IDR;10000;Рупий;48,5797
Рэндов;ZAR;10;Рэндов;44,2301
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);108,3576
Сербских динаров;RSD;100;Сербских динаров;79,0533
Сингапурский доллар;SGD;1;Сингапурский доллар;61,6481
Сомов;KGS;100;Сомов;90,0154
Сомони;TJS;10;Сомони;80,8779
Тенге;KZT;100;Тенге;15,1525
Турецких лир;TRY;10;Турецких лир;19,8209
Узбекских сумов;UZS;10000;Узбекских сумов;62,4416
Форинтов;HUF;100;Форинтов;23,0934
Фунт стерлингов;GBP;1;Фунт стерлингов;107,3956
Чешских крон;CZK;10;Чешских крон;37,4886
Шведских крон;SEK;10;Шведских крон;82,3324
Швейцарский франк;CHF;1;Швейцарский франк;98,7437
Юань;CNY;1;Юань;10,9808
