DigitalCode;LetterCode;Units;Currency;Rate
Австралийский доллар;AUD;1;Австралийский доллар;51,1142
Азербайджанский манат;AZN;1;Азербайджанский манат;45,9813
Армянских драмов;AMD;100;Армянских драмов;20,3462
Батов;THB;10;Батов;24,0525
Белорусский рубль;BYN;1;Белорусский рубль;26,4359
Болгарский лев;BGN;1;Болгарский лев;46,8730
Бразильский реал;BRL;1;Бразильский реал;14,3299
Вон;KRW;1000;Вон;57,1990
Гонконгский доллар;HKD;1;Гонконгский доллар;9,9755
Гривен;UAH;10;Гривен;18,6799
Датская крона;DKK;1;Датская крона;12,2883
Дирхам ОАЭ;AED;1;Дирхам ОАЭ;21,2847
Доллар США;USD;1;Доллар США;78,1682
Донгов;VND;10000;Донгов;31,1167
Евро;EUR;1;Евро;91,9667
Египетских фунтов;EGP;10;Египетских фунтов;15,7319
Злотый;PLN;1;Злотый;21,6323
Иен;JPY;100;Иен;53,5472
Индийских рупий;INR;100;Индийских рупий;91,1914
Канадский доллар;CAD;1;Канадский доллар;57,2409
Катарский риал;QAR;1;Катарский риал;21,4748
Лари;GEL;1;Лари;28,7595
Молдавских леев;MDL;10;Молдавских леев;46,2364
Новозеландский доллар;NZD;1;Новозеландский доллар;46,9635
Новый туркменский манат;TMT;1;Новый туркменский манат;22,3338
Норвежских крон;NOK;10;Норвежских крон;77,1971
Румынский лей;RON;1;Румынский лей;18,1125
Рупий;IDR;10000;Рупий;48,1420
Рэндов;ZAR;10;Рэндов;43,9560
СДР (специальные права заимствования);XDR;1;СДР (специальные права заимствования);107,2577
Сербских динаров;RSD;100;Сербских динаров;78,3304
Сингапурский доллар;SGD;1;Сингапурский доллар;61,1501
Сомов;KGS;100;Сомов;89,3862
Сомони;TJS;10;Сомони;80,9773
Тенге;KZT;100;Тенге;15,0465
Турецких лир;TRY;10;Турецких лир;19,5725
Узбекских сумов;UZS;10000;Узбекских сумов;61,6627
Форинтов;HUF;100;Форинтов;22,9900
Фунт стерлингов;GBP;1;Фунт стерлингов;106,5902
Чешских крон;CZK;10;Чешских крон;37,1575
Шведских крон;SEK;10;Шведских крон;82,1135
Швейцарский франк;CHF;1;Швейцарский франк;98,1519
Юань;CNY;1;Юань;10,8597
