NameStock;LastPrice;LastPriceChangePercent;SecuritiePortfolio_Id
VTBR;96,6;-2,8;2
SBER;313,5;-1,86;3
GAZP;124,02;-2,98;5
MTSS;193,8;-14,06;5
X5;3377,5;0,25;4
T;3188;-0,91;5
LKOH;6110,5;-0,67;2
PIKK;608,2;-3,18;4
MOEX;193,75;-2,28;5
NVTK;1030,2;-1,9;1
SMLT;1190;-3,41;5
YDEX;4060;-0,7;1
GMKN;106,4;-2,81;5
PLZL;1882;-1,36;1
AFKS;15,269;-0,09;4
ROSN;426,6;-0,02;2
AFLT;63,12;-2,05;1
MTLR;86,17;-2,67;2
