Название;Цена;Процент
VTBR;105.52;-0.66
SBER;318.59;0.77
GAZP;129.26;-0.49
T;3286;0.55
PIKK;603.6;0.8
SMLT;1241;1.35
MTLR;89.93;4.5
NVTK;1111.4;1.26
GMKN;110.42;-0.72
X5;3498;-0.62
YDEX;4176.5;0.23
LKOH;6323;0.25
PLZL;1867.8;2.77
POSI;1320.6;6.5
MGNT;3720.5;2.42
AFKS;15.345;1.88
NLMK;114.52;1.52
TATN;657.1;-1.94
