NameStock;LastPrice;LastPriceChangePercent;SecuritiePortfolio_Id
VTBR;93,39;-1,05;2
X5;2858,5;-17,06;3
SBER;309,38;-0,11;4
LKOH;5920;-1,55;5
GAZP;119,23;-1,49;3
PIKK;625,9;1,99;2
T;3172;0,48;4
VKCO;298,9;4,88;2
YDEX;4150;1,45;1
MOEX;191,05;-0,59;3
SMLT;1199;1,35;3
GMKN;103,6;-0,12;2
ROSN;409,1;-1,48;2
AFKS;15,381;-0,45;3
NVTK;1027,8;1,12;4
PLZL;1817,6;-1,5;3
MTSS;192,85;-1,58;3
POSI;1295,6;-1,04;2
