NameStock;LastPrice;LastPriceChangePercent;SecuritiePortfolio_Id
VTBR;100,15;0,77;4
X5;3397,5;0,85;4
SBER;319,37;-0,02;4
SPBE;213,7;-1,06;4
PIKK;629,1;0,14;2
LKOH;6145,5;-0,1;2
GAZP;127,53;-0,23;3
OZPH;47,25;2,96;3
T;3211,6;-0,18;1
SMLT;1229;-0,24;3
ROSN;425,9;-0,19;1
RNFT;119,85;-1,64;4
NVTK;1047,8;-0,23;3
PLZL;1903,6;-0,23;4
MTLR;88,6;0,08;3
YDEX;4079;-0,23;3
RAGR;105,94;-0,49;4
MOEX;198,64;0,18;2
