NameStock;LastPrice;LastPriceChangePercent;SecuritiePortfolio_Id
VTBR;99,39;0,01;2
PIKK;630,1;0,3;3
SBER;319,55;0,03;4
LKOH;6154,5;0,05;5
X5;3375,5;0,19;6
GAZP;127,7;-0,1;7
OZPH;46,59;1,53;8
T;3216;-0,04;9
ROSN;427,35;0,15;10
NVTK;1053,4;0,3;11
PLZL;1905;-0,16;12
SMLT;1229;-0,24;13
RAGR;105,9;-0,53;14
WUSH;155,58;0,82;15
MOEX;198,88;0,3;16
RNFT;121,1;-0,62;17
CHMF;1038,4;-0,15;18
YDEX;4083,5;-0,12;19
