NameStock;LastPrice;LastParcent
VTBR;99,39;-0,55
SBER;319,57;0,13
GAZP;127,5;-0,27
T;3214,8;-0,91
LKOH;6148;0,16
PIKK;628,1;0,27
NVTK;1048;-2,37
UGLD;0,4768;-0,13
MTSS;225,55;-1,29
PLZL;1906,4;2,96
SMLT;1231;-1,76
X5;3372;-1,72
YDEX;4088;-0,81
GMKN;109,12;-0,26
TRNFP;1416;-0,84
ROSN;426,8;-0,12
TATN;642;0,75
VKCO;288,2;-1,64
