SecurityType;Type;SecID;ShortName;FullName;RegNumber;PrimaryBoardID;FaceValue;FaceUnit;Isin;SecuritiePortfolio_Id
Биржевая облигация;exchange_bond;RU000A10B0E4;Сбер SbD5R;Сбербанк ПАО 001Р-SBERD5;TQCB;1000;RUB;RU000A10B0E4;4
Биржевая облигация;exchange_bond;RU000A1069P3;Сбер Sb44R;Сбербанк ПАО 002Р-SBER44;TQCB;1000;RUB;RU000A1069P3;4
Биржевая облигация;exchange_bond;RU000A10BL99;Сбер SbD6R;Сбербанк ПАО 001Р-SBERD6;TQCB;1000;RUB;RU000A10BL99;4
Биржевая облигация;exchange_bond;RU000A10AS85;Сбер SbD4R;Сбербанк ПАО 001Р-SBERD4;TQCB;1000;RUB;RU000A10AS85;4
Биржевая облигация;exchange_bond;RU000A109X37;Сбер SbD3R;Сбербанк ПАО 001Р-SBERD3;TQCB;1000;RUB;RU000A109X37;4
Биржевая облигация;exchange_bond;RU000A109LG9;Сбер SbD2R;Сбербанк ПАО 001Р-SBERD2;TQCB;1000;RUB;RU000A109LG9;4
Биржевая облигация;exchange_bond;RU000A103661;Сбер Sb27R;Сбербанк ПАО 001Р-SBER27;TQCB;1000;RUB;RU000A103661;4
Биржевая облигация;exchange_bond;RU000A103G42;Сбер Sb29R;Сбербанк ПАО 001Р-SBER29;TQCB;1000;RUB;RU000A103G42;4
Биржевая облигация;exchange_bond;RU000A102YG7;Сбер Sb25R;Сбербанк ПАО 001Р-SBER25;TQCB;1000;RUB;RU000A102YG7;4
Биржевая облигация;exchange_bond;RU000A10A3L4;Сбер Sb48R;Сбербанк ПАО 002Р-SBER48;TQCB;1000;RUB;RU000A10A3L4;4
Биржевая облигация;exchange_bond;RU000A10BJN0;СберИОС712;СберИОС 001Р-712R 9M ЛУКОИЛДИС;TQCB;1000;RUB;RU000A10BJN0;4
Биржевая облигация;exchange_bond;RU000A1092X9;Сбер Sb47R;Сбербанк ПАО 002Р-SBER47;TQCB;1000;RUB;RU000A1092X9;4
Биржевая облигация;exchange_bond;RU000A10BPW8;СберИОС728;СберИОС 001Р-728R 1Y MOEXДИС;TQCB;1000;RUB;RU000A10BPW8;4
Биржевая облигация;exchange_bond;RU000A10BG96;СберИОС708;СберИОС 001Р-708R 1Г СБЕРДИС;TQCB;1000;RUB;RU000A10BG96;4
Биржевая облигация;exchange_bond;RU000A104L02;СберИОС531;СберИОС 001Р-531R 3Г GMKN;TQCB;1000;RUB;RU000A104L02;4
Биржевая облигация;exchange_bond;RU000A10BPB2;СберИОС726;СберИОС 001Р-726R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10BPB2;4
