SECURITY_TYPE;TYPE;SECID;SHORTNAME;NAME;REGNUMBER;PRIMARY_BOARDID;FACEVALUE;FACEUNIT;ISIN
Биржевая облигация;exchange_bond;RU000A10BG96;СберИОС708;СберИОС 001Р-708R 1Г СБЕРДИС;TQCB;1000;RUB;RU000A10BG96
Биржевая облигация;exchange_bond;RU000A104L02;СберИОС531;СберИОС 001Р-531R 3Г GMKN;TQCB;1000;RUB;RU000A104L02
Биржевая облигация;exchange_bond;RU000A10BPB2;СберИОС726;СберИОС 001Р-726R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10BPB2
Биржевая облигация;exchange_bond;RU000A10BG88;СберИОС707;СберИОС 001Р-707R 5Г AC FIVE;TQCB;1000;RUB;RU000A10BG88
Биржевая облигация;exchange_bond;RU000A10BGR7;СберИОС710;СберИОС 001Р-710R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10BGR7
Биржевая облигация;exchange_bond;RU000A10BNR3;СберИОС724;СберИОС 001Р-724R 5Г AC IMOEX;TQCB;1000;RUB;RU000A10BNR3
Биржевая облигация;exchange_bond;RU000A10BNQ5;СберИОС725;СберИОС 001Р-725R X5 КС;TQCB;1000;RUB;RU000A10BNQ5
Биржевая облигация;exchange_bond;RU000A101Y75;СберИОС297;СберИОС 001Р-297R GMKN_prt 5Г;TQCB;1000;RUB;RU000A101Y75
Биржевая облигация;exchange_bond;RU000A106M09;СберИОС579;СберИОС 001Р-579R 5Г AC MOEX;TQCB;1000;RUB;RU000A106M09
Биржевая облигация;exchange_bond;RU000A107J45;СберИОС601;СберИОС 001Р-601R 5Г AC MOEXMM;TQCB;1000;RUB;RU000A107J45
Биржевая облигация;exchange_bond;RU000A107P88;СберИОС602;СберИОС 001Р-602R 5Г AC SBER;TQCB;1000;RUB;RU000A107P88
Биржевая облигация;exchange_bond;RU000A108413;СберИОС615;СберИОС 001Р-615R 5Г AC TCSG;TQCB;1000;RUB;RU000A108413
Биржевая облигация;exchange_bond;RU000A108C09;СберИОС621;СберИОС 001Р-621R 5Г AC SBER;TQCB;1000;RUB;RU000A108C09
Биржевая облигация;exchange_bond;RU000A108E64;СберИОС622;СберИОС 001Р-622R 5Г AC SBER;TQCB;1000;RUB;RU000A108E64
Биржевая облигация;exchange_bond;RU000A109X03;СберИОС656;СберИОС 001Р-656R 5Г AC LKOH;TQCB;1000;RUB;RU000A109X03
Биржевая облигация;exchange_bond;RU000A10A6X2;СберИОС664;СберИОС 001Р-664R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10A6X2
Биржевая облигация;exchange_bond;RU000A10ASA0;СберИОС677;СберИОС 001Р-677R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10ASA0
Биржевая облигация;exchange_bond;RU000A10AYH3;СберИОС683;СберИОС 001Р-683R 5Г AC MOEX;TQCB;1000;RUB;RU000A10AYH3
Биржевая облигация;exchange_bond;RU000A10AYQ4;СберИОС685;СберИОС 001Р-685R 3Y1M ОФЗ;TQCB;1000;RUB;RU000A10AYQ4
Биржевая облигация;exchange_bond;RU000A10B4M9;СберИОС694;СберИОС 001Р-694R 5Г AC LKOH;TQCB;1000;RUB;RU000A10B4M9
Биржевая облигация;exchange_bond;RU000A100MZ6;СберИОС119;СберИОС 001Р-119R 12Y ЗПИФ;TQCB;1000;RUB;RU000A100MZ6
Биржевая облигация;exchange_bond;RU000A101S32;СберИОС274;СберИОС 001Р-274R 5Г БОНД ИНД;TQCB;1000;RUB;RU000A101S32
Биржевая облигация;exchange_bond;RU000A101T23;СберИОС279;СберИОС 001Р-279R 5Y ТЕХ;TQCB;1000;RUB;RU000A101T23
Биржевая облигация;exchange_bond;RU000A101T31;СберИОС264;СберИОС 001Р-264R 5Y США-ШВЕЙЦ;TQCB;1000;RUB;RU000A101T31
Биржевая облигация;exchange_bond;RU000A101TZ9;СберИОС280;СберИОС 001Р-280R 5Y США-ШВЕЙЦ;TQCB;1000;RUB;RU000A101TZ9
Биржевая облигация;exchange_bond;RU000A101UZ7;СберИОС282;СберИОС 001Р-282R 5Г БТЕХ ИНД;TQCB;1000;RUB;RU000A101UZ7
Биржевая облигация;exchange_bond;RU000A101V11;СберИОС283;СберИОС 001Р-283R 5Y ТЕХ;TQCB;1000;RUB;RU000A101V11
