;;;;
Акция обыкновенная;common_share;SBER;Сбербанк;Сбербанк России ПАО ао;RUB;RU0009029540
Биржевая облигация;exchange_bond;RU000A101W36;СберИОС277;СберИОС 001Р-277R 5Г H.C.75%;RUB;RU000A101W36
Биржевая облигация;exchange_bond;RU000A101WG3;СберИОС292;СберИОС 001Р-292R 5Г МГТРД ИНД;RUB;RU000A101WG3
Биржевая облигация;exchange_bond;RU000A101WU4;СберИОС296;СберИОС 001Р-296R 5Г ESG;RUB;RU000A101WU4
Биржевая облигация;exchange_bond;RU000A101WV2;СберИОС295;СберИОС 001Р-295R 5Y ТЕХ;RUB;RU000A101WV2
Биржевая облигация;exchange_bond;RU000A101WT6;СберИОС287;СберИОС 001Р-287R 5Г SBERDVTI;RUB;RU000A101WT6
Биржевая облигация;exchange_bond;RU000A101Y83;СберИОС291;СберИОС 001Р-291R 5Y PP 75%;RUB;RU000A101Y83
Биржевая облигация;exchange_bond;RU000A101YG9;СберИОС298;СберИОС 001Р-298R 5Г БТЕХ ИНД;RUB;RU000A101YG9
Биржевая облигация;exchange_bond;RU000A101ZQ5;СберИОС293;СберИОС 001Р-293R 5Г CDX;RUB;RU000A101ZQ5
Биржевая облигация;exchange_bond;RU000A101ZR3;СберИОС301;СберИОС 001Р-301R 5Y ТЕХ;RUB;RU000A101ZR3
Биржевая облигация;exchange_bond;RU000A101ZS1;СберИОС302;СберИОС 001Р-302R 5Г ESG;RUB;RU000A101ZS1
Биржевая облигация;exchange_bond;RU000A101ZV5;СберИОС294;СберИОС 001Р-294R 5Г RBPP;RUB;RU000A101ZV5
Биржевая облигация;exchange_bond;RU000A1020F7;СберИОС304;СберИОС 001Р-304R 5Г МГТРД ИНД;RUB;RU000A1020F7
Биржевая облигация;exchange_bond;RU000A1020G5;СберИОС314;СберИОС 001Р-314R 5Г SBERDVTI;RUB;RU000A1020G5
Биржевая облигация;exchange_bond;RU000A102168;СберИОС311;СберИОС 001Р-311R 5Y ТЕХ;RUB;RU000A102168
Биржевая облигация;exchange_bond;RU000A102176;СберИОС312;СберИОС 001Р-312R 5Г ESG;RUB;RU000A102176
Биржевая облигация;exchange_bond;RU000A1021M1;СберИОС305;СберИОС 001Р-305R 5Г МГТРД ИНД;RUB;RU000A1021M1
Биржевая облигация;exchange_bond;RU000A1021N9;СберИОС306;СберИОС 001Р-306R 5Г БТЕХ ИНД;RUB;RU000A1021N9
Биржевая облигация;exchange_bond;RU000A1021P4;СберИОС309;СберИОС 001Р-309R 5Г ВП;RUB;RU000A1021P4
Биржевая облигация;exchange_bond;RU000A1021Q2;СберИОС310;СберИОС 001Р-310R 5Г ВП;RUB;RU000A1021Q2
Биржевая облигация;exchange_bond;RU000A102242;СберИОС315;СберИОС 001Р-315R 5Y ТЕХ;RUB;RU000A102242
Биржевая облигация;exchange_bond;RU000A102259;СберИОС316;СберИОС 001Р-316R 5Г ESG;RUB;RU000A102259
Биржевая облигация;exchange_bond;RU000A102283;СберИОС320;СберИОС 001Р-320R 5Г SBERDVTI;RUB;RU000A102283
Биржевая облигация;exchange_bond;RU000A1022N7;СберИОС318;СберИОС 001Р-318R 5Г МГТРД ИНД;RUB;RU000A1022N7
Биржевая облигация;exchange_bond;RU000A1022R8;СберИОС327;СберИОС 001Р-327R 5Г РБЧ;RUB;RU000A1022R8
Биржевая облигация;exchange_bond;RU000A102341;СберИОС308;СберИОС 001Р-308R 5Г СРВП;RUB;RU000A102341
Биржевая облигация;exchange_bond;RU000A102358;СберИОС307;СберИОС 001Р-307R 5Г СРВП;RUB;RU000A102358
Биржевая облигация;exchange_bond;RU000A1023X4;СберИОС323;СберИОС 001Р-323R 5Y ТЕХ;RUB;RU000A1023X4
Биржевая облигация;exchange_bond;RU000A1023Y2;СберИОС324;СберИОС 001Р-324R 5Г ESG;RUB;RU000A1023Y2
Биржевая облигация;exchange_bond;RU000A1023Z9;СберИОС319;СберИОС 001Р-319R 5Г МГТРД ИНД;RUB;RU000A1023Z9
Биржевая облигация;exchange_bond;RU000A102416;СберИОС321;СберИОС 001Р-321R 5Г SBERDVTI;RUB;RU000A102416
Биржевая облигация;exchange_bond;RU000A1024N3;СберИОС329;СберИОС 001Р-329R 5Г ВП;RUB;RU000A1024N3
Биржевая облигация;exchange_bond;RU000A1024T0;СберИОС330;СберИОС 001Р-330R 5Г ВП;RUB;RU000A1024T0
Биржевая облигация;exchange_bond;RU000A1025R1;СберИОС345;СберИОС 001Р-345R 5Y ТЕХ;RUB;RU000A1025R1
Биржевая облигация;exchange_bond;RU000A1025S9;СберИОС346;СберИОС 001Р-346R 5Y ТЕХ;RUB;RU000A1025S9
Биржевая облигация;exchange_bond;RU000A1025L4;СберИОС336;СберИОС 001Р-336R 5Г РБЧ;RUB;RU000A1025L4
Биржевая облигация;exchange_bond;RU000A102614;СберИОС338;СберИОС 001Р-338R 5Г МГТРД ИНД;RUB;RU000A102614
Биржевая облигация;exchange_bond;RU000A102622;СберИОС340;СберИОС 001Р-340R 5Г ВСТГЭ ИНД;RUB;RU000A102622
Биржевая облигация;exchange_bond;RU000A1025J8;СберИОС331;СберИОС 001Р-331R 5Г СРВП;RUB;RU000A1025J8
Биржевая облигация;exchange_bond;RU000A1026E7;СберИОС332;СберИОС 001Р-332R 5Г СРВП;RUB;RU000A1026E7
Биржевая облигация;exchange_bond;RU000A1026M0;СберИОС341;СберИОС 001Р-341R 5Г РБЧ;RUB;RU000A1026M0
Биржевая облигация;exchange_bond;RU000A1026N8;СберИОС342;СберИОС 001Р-342R 5Г МГТРД ИНД;RUB;RU000A1026N8
